;link;Amount;ComplRate;OverSuccess;Duration;NDon;ADon;NInfo;NPers;NComment;NJumpA;NJump1;NDonLevel;BCulture;OtherProject;Facebook;NFacebook
13;https://www.kisskissbankbank.com/fr/projects/pentes-douces-roman-50-texte-50-photo;4313;129;1;60;87;53.43939393939394;22;12;13;19;66;0;1;0;1;3904
14;https://www.kisskissbankbank.com/fr/projects/creation-de-la-librairie-la-boussole;32345;107;1;60;221;122.06382978723404;28;5;52;39;188;2;1;0;1;1026
15;https://www.kisskissbankbank.com/fr/projects/la-fayette;4734;118;1;60;94;52.178082191780824;32;1;14;14;72;2;1;0;0;0
16;https://www.kisskissbankbank.com/fr/projects/edition-de-deux-le-roman-graphique-tome-1;6530;131;1;96;171;38.5;31;1;13;35;160;2;1;1;1;2410
17;https://www.kisskissbankbank.com/fr/projects/visiter-l-afrique;16783;111;1;60;394;46.14503816793893;25;7;112;101;262;0;1;0;1;21872
18;https://www.kisskissbankbank.com/fr/projects/et-votre-reve-devient-tapis;1900;105;0;60;40;48.36363636363637;31;0;8;6;33;1;1;0;1;641
19;https://www.kisskissbankbank.com/fr/projects/otsokop-supermarche-collaboratif-du-pays-basque;12772;106;1;60;276;44.76126126126126;23;7;33;93;222;1;0;0;1;4378
20;https://www.kisskissbankbank.com/fr/projects/ntarabana;5628;104;0;60;35;161.55882352941177;18;12;6;6;34;1;1;0;1;0
21;https://www.kisskissbankbank.com/fr/projects/domino-adhesifs-carrelage-deco-diy;5510;110;1;60;95;45.18987341772152;27;3;28;29;79;0;0;0;1;1400
22;https://www.kisskissbankbank.com/fr/projects/eclats-de-scene;6525;108;1;60;81;90.78947368421052;25;4;30;22;57;2;1;0;0;0
23;https://www.kisskissbankbank.com/fr/projects/neptumium-ratons-spectacle-cirque-hiphop;3255;109;1;60;24;28.9;28;0;8;8;20;0;1;0;1;363
24;https://www.kisskissbankbank.com/fr/projects/creation-de-l-association-toulouzebre;6407;128;1;60;163;39.319327731092436;17;11;72;31;119;0;0;0;0;0
25;https://www.kisskissbankbank.com/fr/projects/society-abonne-fondateur;50199;795;1;60;933;51.17910447761194;24;4;90;60;804;5;1;0;0;0
26;https://www.kisskissbankbank.com/fr/projects/carnet-marseillais;15755;158;1;60;203;77.29797979797979;26;1;86;64;198;0;1;0;0;0
27;https://www.kisskissbankbank.com/fr/projects/d-ici-et-d-ailleurs-sabrina-elhadjali;4500;113;1;60;51;88.125;26;0;46;10;48;7;0;0;1;15094
28;https://www.kisskissbankbank.com/fr/projects/maison-bulle-bioclimatique-enterree;5740;117;1;60;67;87.87037037037037;24;2;25;14;54;0;0;0;1;2240
29;https://www.kisskissbankbank.com/fr/projects/delivrance-recueil-poetique-d-un-cocainomane-repenti;2710;181;1;60;56;48.392857142857146;24;2;20;27;56;2;1;0;1;252
30;https://www.kisskissbankbank.com/fr/projects/sortie-de-l-album-the-shine-the-elementz-par-king-lee--2;3777;107;1;60;53;28.627906976744185;24;1;15;14;43;0;1;0;1;1137
31;https://www.kisskissbankbank.com/fr/projects/voir-ca-ca-voir-vincent-corpet;9136;101;0;60;54;134.75675675675674;25;0;9;7;37;0;1;0;1;667
32;https://www.kisskissbankbank.com/fr/projects/startuplions;15792;225;1;60;340;41.73809523809524;10;15;91;55;252;0;1;0;0;0
33;https://www.kisskissbankbank.com/fr/projects/theatre-les-ritals-cavanna-a-chaumes-en-brie;3825;109;1;60;82;46.646341463414636;16;8;17;26;82;4;1;0;1;387
34;https://www.kisskissbankbank.com/fr/projects/aidez-nous-a-reprendre-le-fil;3625;103;0;60;71;36.6;19;5;24;19;50;10;0;0;1;236
35;https://www.kisskissbankbank.com/fr/projects/premier-mini-album-de-grande-ourse;3923;112;1;60;116;29.85;2;21;22;34;100;0;1;0;1;541
36;https://www.kisskissbankbank.com/fr/projects/cyril-contre-goliath;35255;100;0;60;211;154.34426229508196;17;6;29;14;183;0;1;0;1;1237
37;https://www.kisskissbankbank.com/fr/projects/equitavie;3180;109;1;60;23;92.3076923076923;22;1;15;7;13;0;0;0;0;0
38;https://www.kisskissbankbank.com/fr/projects/magazines;2050;113;1;60;62;30.508474576271187;23;0;10;14;59;0;1;0;1;252
39;https://www.kisskissbankbank.com/fr/projects/soutien-tpsf-festival;5580;112;1;60;110;51.98979591836735;19;3;15;22;96;1;1;0;1;3222
40;https://www.kisskissbankbank.com/fr/projects/tout-part-en-vrac;8245;103;0;60;60;35.660377358490564;20;2;37;16;53;0;0;0;1;2128
41;https://www.kisskissbankbank.com/fr/projects/journal-de-demoiselles-ou-contines-de-la-vertu;5240;105;0;60;58;95.57692307692308;21;1;21;10;52;3;1;0;1;143
42;https://www.kisskissbankbank.com/fr/projects/montparnasse-nouvel-album-studio;14461;120;1;60;158;75.52380952380952;18;4;57;46;126;0;1;1;1;2056
43;https://www.kisskissbankbank.com/fr/projects/comment-eclairer-votre-interieur-le-disque-du-ramon-pipin-band;16230;101;0;60;198;78.43243243243244;20;2;66;50;185;0;1;0;1;1070
44;https://www.kisskissbankbank.com/fr/projects/quidditch-aidez-la-france-a-devenir-championne-du-monde;6105;101;0;60;66;37.42857142857143;20;2;8;17;42;0;0;0;1;4892
45;https://www.kisskissbankbank.com/fr/projects/luna-conte-fantastique;12730;106;1;60;94;66.84931506849315;11;11;29;16;73;1;1;1;0;0
46;https://www.kisskissbankbank.com/fr/projects/astoria-misatango;8145;136;1;60;209;39.45;21;0;80;62;200;0;1;0;1;1316
47;https://www.kisskissbankbank.com/fr/projects/me-asa-weyo-new-album;9335;115;1;60;138;51.39316239316239;11;10;47;33;117;0;1;0;1;1538
48;https://www.kisskissbankbank.com/fr/projects/l-orangerie-d-amel-et-clem;10140;101;0;60;55;142.2826086956522;7;14;26;9;46;0;0;0;0;0
49;https://www.kisskissbankbank.com/fr/projects/jeune-accordeoniste-en-scene;4035;100;0;60;50;40.853658536585364;20;1;6;13;41;0;1;0;1;62
50;https://www.kisskissbankbank.com/fr/projects/a-d-i-l-aire-de-detente-intelligente;8542;106;1;60;130;65.34615384615384;17;4;46;44;104;3;0;0;0;0
51;https://www.kisskissbankbank.com/fr/projects/leon-kamae;3820;102;0;60;67;55.0;8;13;26;11;56;3;1;0;1;469
52;https://www.kisskissbankbank.com/fr/projects/la-clara-bar-tapas-epicerie-culture;4000;114;1;60;75;49.42028985507246;19;2;31;29;69;13;0;0;1;1317
53;https://www.kisskissbankbank.com/fr/projects/un-verger-dans-la-vigne;9100;113;1;60;129;69.20353982300885;8;13;39;27;113;1;0;1;0;0
54;https://www.kisskissbankbank.com/fr/projects/the-fighting-kit;39560;141;1;60;500;74.92042440318302;18;3;136;71;377;22;0;0;0;0
55;https://www.kisskissbankbank.com/fr/projects/wine-thecity-2015;7070;141;1;60;159;45.62043795620438;20;1;53;41;137;1;1;0;0;0
56;https://www.kisskissbankbank.com/fr/projects/la-croisiere-crue-c-est-600-kilometres-a-velo-en-trois-jours-pour-livrer-un-pot-de-miel;2154;100;0;60;27;92.57142857142857;17;4;15;6;21;0;0;0;0;0
57;https://www.kisskissbankbank.com/fr/projects/collection-extramonde-4-films-cultes-en-combo-bluray-dvd-collector;6259;104;0;60;91;51.59090909090909;14;6;15;34;88;2;1;1;1;763
58;https://www.kisskissbankbank.com/fr/projects/festival-bd-9e-l-yeu-edition-2;4550;114;1;60;127;36.21186440677966;14;6;36;38;118;0;1;1;1;330
59;https://www.kisskissbankbank.com/fr/projects/les-garcons-bleus-12-portraits;7355;123;1;74;129;51.73913043478261;18;2;7;17;115;0;1;0;1;354
60;https://www.kisskissbankbank.com/fr/projects/la-tete-en-l-air-les-pieds-sur-terre-les-mains-dans-l-argile;3550;101;0;60;48;67.95454545454545;20;0;34;12;44;2;1;0;1;49
61;https://www.kisskissbankbank.com/fr/projects/putsch-un-media-ou-la-culture-fait-debat;12295;153;1;60;112;57.16867469879518;18;2;6;23;83;2;1;1;1;18150
62;https://www.kisskissbankbank.com/fr/projects/beija-premier-album;5787;115;1;60;105;46.69135802469136;20;0;64;21;81;0;1;0;1;405
63;https://www.kisskissbankbank.com/fr/projects/un-lieu-joyeux-pour-faire-petiller-les-yeux-des-petits-et-des-grands;5165;103;0;60;82;52.605633802816904;17;3;29;13;71;3;0;0;1;363
64;https://www.kisskissbankbank.com/fr/projects/ultima-patagonia-2017;8500;106;1;60;102;83.20224719101124;19;1;31;35;89;0;0;0;0;0
65;https://www.kisskissbankbank.com/fr/projects/lsd-le-sport-dauphinois;10151;225;1;60;102;65.1685393258427;17;3;24;29;89;0;0;0;0;0
66;https://www.kisskissbankbank.com/fr/projects/l-image-publique-10-annees-de-decouvertes-photographiques;2165;120;1;60;54;39.6875;14;6;13;14;48;2;1;0;1;1143
67;https://www.kisskissbankbank.com/fr/projects/une-bergerie-a-sauvegarder-et-a-partager;5105;102;0;60;101;53.086021505376344;17;2;15;34;92;2;0;0;1;69
68;https://www.kisskissbankbank.com/fr/projects/les-beautes-de-proximite;6621;102;0;60;119;55.63865546218487;18;1;25;30;118;1;1;0;1;1642
69;https://www.kisskissbankbank.com/fr/projects/concours-de-design-zebu-pour-une-filiere-brassicole-zero-dechet;7200;100;0;60;75;96.0;6;13;18;15;75;0;0;0;1;2048
70;https://www.kisskissbankbank.com/fr/projects/campus-tech;16030;106;1;60;95;184.11764705882354;6;13;27;14;68;5;0;0;0;0
71;https://www.kisskissbankbank.com/fr/projects/la-chapeliere-toquee-cafe-poussette;7005;140;1;60;142;50.541666666666664;4;15;44;20;120;2;0;0;0;0
72;https://www.kisskissbankbank.com/fr/projects/le-bateau-magazine;15897;230;1;60;266;43.24186046511628;16;3;38;41;215;0;1;1;0;0
73;https://www.kisskissbankbank.com/fr/projects/so-arctique;11690;116;1;60;139;78.62068965517241;19;0;30;38;116;1;0;0;1;1800
74;https://www.kisskissbankbank.com/fr/projects/the-cheri-truck-un-magasin-sur-roues;3100;124;1;60;98;31.760563380281692;17;2;110;15;71;2;0;0;0;0
75;https://www.kisskissbankbank.com/fr/projects/city-un-archived-publication;1962;103;0;60;41;44.4375;16;3;6;15;32;0;1;0;0;0
76;https://www.kisskissbankbank.com/fr/projects/mister-j-repeint-le-mur;1100;129;1;60;19;59.6875;19;0;5;7;16;0;1;0;0;0
77;https://www.kisskissbankbank.com/fr/projects/tower-defense-jeu-de-societe-minimaliste;2938;391;1;60;175;16.858064516129033;18;1;48;55;152;3;0;0;0;0
